

Results from heasarc_wisehspcat: 2WHSP Catalog of High Synchrotron Peaked Blazars and Candidates
Coordinate system:  Equatorial
|name                  |ra        |dec      |lii     |bii     |source_flag|bzcat_object_type|log_nu_peak_limit|log_nu_peak|log_nu_peak_flag|log_nu_f_nu_limit|log_nu_f_nu|log_nu_f_nu_flag|redshift_limit|redshift|redshift_flag|ref_redshift|fermi_lat_detection|gamma_ray_index|gamma_ray_index_error|twofhl_name     |figure_of_merit|
|2WHSP J041458.0-533942|04 14 58.0|-53 39 42|262.8575|-44.4296|           |                 |                 |       16.4|                |                 |      -11.5|                |              |        |             |            |2FGL J0413.5-5332  |           2.41|                 0.08|                |           0.63|
|2WHSP J230039.7-533110|23 00 39.7|-53 31 10|333.0903|-56.6328|           |                 |                 |       17.2|                |                 |      -12.1|                |              |   0.263|             |            |                   |               |                     |                |           0.16|
|2WHSP J033851.9-532424|03 38 51.9|-53 24 24|265.0931|-49.5758|           |                 |                 |       15.6|                |                 |      -12.5|                |              |        |             |            |                   |               |                     |                |           0.06|
|2WHSP J032127.3-531055|03 21 27.3|-53 10 55|266.5773|-52.0124|           |                 |                 |       16.1|                |                 |      -12.5|                |              |        |             |            |                   |               |                     |                |           0.06|
|2WHSP J015657.9-530159|01 56 57.9|-53 01 59|282.1967|-61.3774|           |5BZB             |                 |       18.0|                |                 |      -11.1|                |              |        |             |            |3FGL J0157.0-5301  |           1.82|                 0.08|2FHL J0157.0-530|           1.58|
|2WHSP J062337.7-525756|06 23 37.7|-52 57 56|261.4927|-25.3968|           |5BZB             |                 |       15.2|                |                 |      -12.4|                |&gt;             |   0.440|             |            |                   |               |                     |                |           0.08|
|2WHSP J000319.5-524726|00 03 19.5|-52 47 26|318.9447|-62.8162|           |                 |                 |       17.1|                |                 |      -11.9|                |              |        |             |            |3FGL J0003.2-5246  |           1.90|                 0.17|                |           0.25|
|2WHSP J034427.2-523557|03 44 27.2|-52 35 57|263.4544|-49.1080|           |                 |                 |       15.6|                |                 |      -12.2|                |              |        |             |            |                   |               |                     |                |           0.13|
|2WHSP J020921.6-522921|02 09 21.6|-52 29 21|278.3653|-60.7628|           |5BZB             |                 |       16.7|                |                 |      -11.1|                |&gt;             |   0.163|             |            |3FGL J0209.4-5229  |           1.80|                 0.05|2FHL J0209.3-522|           1.58|
|2WHSP J042302.4-522739|04 23 02.4|-52 27 39|260.8466|-43.5246|           |                 |                 |       15.8|                |                 |      -12.7|                |              |        |             |            |                   |               |                     |                |           0.04|
|2WHSP J222129.2-522527|22 21 29.2|-52 25 27|340.3715|-52.3757|           |5BZB             |                 |       15.8|                |                 |      -11.3|                |&gt;             |   0.340|             |            |3FGL J2221.6-5225  |           1.93|                 0.07|2FHL J2221.4-522|           1.00|
|2WHSP J194615.1-520848|19 46 15.1|-52 08 48|346.0612|-29.3021|           |                 |                 |       15.8|                |                 |      -12.2|                |              |        |             |            |                   |               |                     |                |           0.13|
|2WHSP J224641.9-520639|22 46 41.9|-52 06 39|337.4253|-55.8384|           |                 |                 |       17.7|                |                 |      -11.2|                |              |   0.098|             |            |3FGL J2246.7-5205  |           1.44|                 0.18|2FHL J2246.5-520|           1.26|
|2WHSP J230327.4-520033|23 03 27.4|-52 00 33|334.6930|-57.9403|           |                 |                 |       15.7|                |                 |      -12.7|                |              |        |             |            |                   |               |                     |                |           0.04|
|2WHSP J002200.0-514023|00 22 00.0|-51 40 23|313.6989|-64.8354|           |5BZB             |                 |       15.7|                |                 |      -11.2|                |              |   0.250|             |            |3FGL J0022.1-5141  |           1.99|                 0.08|                |           1.26|
|2WHSP J071525.2-513737|07 15 25.2|-51 37 37|262.6051|-17.4442|           |                 |                 |       15.6|                |                 |      -12.1|                |              |        |             |            |                   |               |                     |                |           0.16|
|2WHSP J064710.0-513547|06 47 10.0|-51 35 47|261.0298|-21.5699|           |                 |                 |       17.9|                |                 |      -11.2|                |              |        |             |            |3FGL J0647.0-5134  |           2.19|                 0.18|                |           1.26|
|2WHSP J022948.1-512351|02 29 48.1|-51 23 51|272.2063|-59.4585|           |                 |                 |       15.7|                |                 |      -12.5|                |              |        |             |            |                   |               |                     |                |           0.06|
|2WHSP J011828.6-511527|01 18 28.6|-51 15 27|292.7655|-65.3337|           |                 |                 |       15.5|                |                 |      -12.2|                |&gt;             |   0.440|             |            |                   |               |                     |                |           0.13|
|2WHSP J032228.3-504538|03 22 28.3|-50 45 38|262.9106|-52.9633|           |                 |                 |       15.7|                |                 |      -12.5|                |              |        |             |            |                   |               |                     |                |           0.06|
|2WHSP J001411.3-502233|00 14 11.3|-50 22 33|317.4494|-65.6894|           |5BZB             |                 |       17.5|                |                 |      -11.6|                |              |   0.010|:            |            |3FGL J0014.0-5025  |           1.92|                 0.15|                |           0.50|
|2WHSP J031034.6-501631|03 10 34.6|-50 16 31|263.6137|-54.8709|           |                 |                 |       15.9|                |                 |      -11.8|                |              |        |             |            |3FGL J0310.4-5015  |           1.75|                 0.14|2FHL J0310.4-501|           0.32|
