

Results from heasarc_wisehspcat: 2WHSP Catalog of High Synchrotron Peaked Blazars and Candidates
Coordinate system:  Equatorial
|name                  |ra        |dec      |lii     |bii     |source_flag|bzcat_object_type|log_nu_peak_limit|log_nu_peak|log_nu_peak_flag|log_nu_f_nu_limit|log_nu_f_nu|log_nu_f_nu_flag|redshift_limit|redshift|redshift_flag|ref_redshift|fermi_lat_detection|gamma_ray_index|gamma_ray_index_error|twofhl_name     |figure_of_merit|
|2WHSP J154433.1+322147|15 44 33.1|+32 21 47| 51.6308| 52.3143|           |                 |                 |       15.3|                |                 |      -12.6|                |&gt;             |   0.520|             |            |                   |               |                     |                |           0.05|
|2WHSP J224833.3+322334|22 48 33.3|+32 23 34| 94.8293|-23.6884|           |                 |                 |       15.7|                |                 |      -12.4|                |              |        |             |            |                   |               |                     |                |           0.08|
|2WHSP J121815.7+322344|12 18 15.7|+32 23 44|174.7379| 81.0843|           |                 |                 |       17.0|                |                 |      -13.0|                |              |   0.630|             |            |                   |               |                     |                |           0.02|
|2WHSP J043307.4+322840|04 33 07.4|+32 28 40|167.8645|-10.4427|           |                 |                 |       15.9|                |                 |      -11.7|                |              |        |             |            |3FGL J0433.1+3228  |           1.97|                 0.14|                |           0.40|
|2WHSP J162007.7+323027|16 20 07.7|+32 30 27| 52.9329| 44.8577|           |                 |                 |       16.8|                |                 |      -13.0|                |              |   0.778|             |            |                   |               |                     |                |           0.02|
|2WHSP J011823.2+324324|01 18 23.2|+32 43 24|129.4631|-29.8064|           |                 |                 |       16.3|                |                 |      -12.3|                |              |   0.112|             |            |                   |               |                     |                |           0.10|
|2WHSP J012430.4+324945|01 24 30.4|+32 49 45|130.9140|-29.5295|           |5BZB             |&gt;                |       16.0|                |&gt;                |      -12.1|                |              |        |             |            |                   |               |                     |                |           0.16|
|2WHSP J083251.4+330011|08 32 51.4|+33 00 11|189.9758| 34.6097|           |5BZB             |                 |       18.0|                |                 |      -12.0|                |              |   0.671|             |            |                   |               |                     |                |           0.20|
|2WHSP J163416.9+330520|16 34 16.9|+33 05 20| 54.2872| 41.9913|           |                 |&gt;                |       17.0|                |&gt;                |      -13.0|                |              |        |             |            |                   |               |                     |                |           0.02|
|2WHSP J073025.9+330722|07 30 25.9|+33 07 22|185.8718| 22.0474|           |5BZB             |                 |       15.5|                |                 |      -11.5|                |              |   0.110|             |            |3FGL J0730.5+3307  |           2.12|                 0.12|                |           0.63|
|2WHSP J012657.1+330730|01 26 57.1|+33 07 30|131.4437|-29.1591|           |5BZB             |                 |       16.8|                |                 |      -12.1|                |              |        |             |            |Arsioli2016        |           2.27|                 0.26|                |           0.16|
|2WHSP J105040.2+331004|10 50 40.2|+33 10 04|192.4795| 63.3022|           |                 |                 |       16.7|                |                 |      -12.6|                |              |        |             |            |                   |               |                     |                |           0.05|
|2WHSP J164339.4+331646|16 43 39.4|+33 16 46| 54.9350| 40.0821|           |                 |                 |       15.6|                |                 |      -12.7|                |              |        |             |            |                   |               |                     |                |           0.04|
|2WHSP J135908.8+332205|13 59 08.8|+33 22 05| 60.1731| 74.1277|           |                 |                 |       15.7|                |                 |      -12.9|                |              |   0.442|             |            |                   |               |                     |                |           0.03|
|2WHSP J170052.6+332430|17 00 52.6|+33 24 30| 55.9019| 36.5645|           |                 |                 |       16.3|:               |                 |      -12.6|:               |              |   0.383|             |            |                   |               |                     |                |           0.50|
|2WHSP J091037.0+332924|09 10 37.0|+33 29 24|191.1206| 42.4662|           |5BZB             |                 |       15.0|                |                 |      -11.0|                |              |   0.350|:            |            |3FGL J0910.5+3329  |           1.98|                 0.08|2FHL J0910.4+332|           2.00|
|2WHSP J175600.5+332924|17 56 00.5|+33 29 24| 59.2219| 25.4281|           |                 |                 |       15.2|                |                 |      -12.8|                |              |        |             |            |                   |               |                     |                |           0.03|
|2WHSP J151041.0+333503|15 10 41.0|+33 35 03| 53.7071| 59.4257|           |5BZG             |&gt;                |       17.5|                |&gt;                |      -11.5|                |              |   0.114|             |            |Arsioli2016        |           1.47|                 0.28|                |           0.63|
|2WHSP J114221.7+334201|11 42 21.7|+33 42 01|184.8894| 73.7503|           |                 |                 |       15.3|                |                 |      -12.4|                |              |        |             |            |                   |               |                     |                |           0.08|
|2WHSP J160446.4+334520|16 04 46.4|+33 45 20| 54.2590| 48.1830|           |5BZG             |                 |       17.2|                |                 |      -12.5|                |              |   0.177|             |            |                   |               |                     |                |           0.06|
|2WHSP J114523.2+334744|11 45 23.2|+33 47 44|183.7831| 74.3087|           |                 |                 |       16.0|:               |                 |      -12.5|:               |              |        |             |            |                   |               |                     |                |           0.06|
|2WHSP J001011.7+334851|00 10 11.7|+33 48 51|113.2102|-28.2778|           |                 |                 |       15.2|                |                 |      -12.1|                |              |        |             |            |                   |               |                     |                |           0.16|
|2WHSP J025707.7+335729|02 57 07.7|+33 57 29|150.7403|-22.0386|           |                 |                 |       15.8|                |                 |      -12.1|                |              |        |             |            |                   |               |                     |                |           0.16|
|2WHSP J153737.0+340148|15 37 37.0|+34 01 48| 54.3169| 53.8241|           |                 |                 |       17.2|                |                 |      -12.9|                |              |   0.327|             |            |                   |               |                     |                |           0.03|
|2WHSP J141140.4+340423|14 11 40.4|+34 04 23| 59.7823| 71.4318|           |5BZB             |                 |       16.9|                |                 |      -12.6|                |              |   0.421|             |            |                   |               |                     |                |           0.05|
|2WHSP J115244.8+340638|11 52 44.8|+34 06 38|180.3798| 75.5930|           |                 |                 |       17.0|                |                 |      -12.8|                |              |   0.705|             |            |                   |               |                     |                |           0.03|
|2WHSP J100202.2+340836|10 02 02.2|+34 08 36|191.3439| 53.1582|           |                 |                 |       16.4|                |                 |      -12.9|                |              |   0.412|             |            |                   |               |                     |                |           0.03|
|2WHSP J153324.1+341640|15 33 24.1|+34 16 40| 54.7403| 54.6963|           |5BZB             |                 |       15.6|                |                 |      -11.8|                |              |        |             |            |3FGL J1533.5+3416  |           1.85|                 0.16|                |           0.32|
|2WHSP J012308.5+342048|01 23 08.5|+34 20 48|130.3452|-28.0683|           |5BZB             |                 |       18.0|                |                 |      -10.8|                |              |   0.270|             |            |3FGL J0122.8+3423  |           1.48|                 0.14|                |           3.16|
|2WHSP J141409.1+343057|14 14 09.1|+34 30 57| 60.6361| 70.8139|           |5BZG             |                 |       15.7|                |                 |      -12.4|                |              |        |             |            |                   |               |                     |                |           0.08|
|2WHSP J142422.9+343356|14 24 22.9|+34 33 56| 59.1374| 68.7711|           |5BZB             |                 |       16.6|                |                 |      -12.0|                |              |   0.576|             |            |                   |               |                     |                |           0.20|
|2WHSP J162044.2+343511|16 20 44.2|+34 35 11| 55.8701| 44.9634|           |                 |                 |       16.4|                |                 |      -12.5|                |              |   0.360|             |            |                   |               |                     |                |           0.06|
|2WHSP J232243.9+343612|23 22 43.9|+34 36 12|102.9181|-24.7975|           |5BZG             |                 |       16.0|                |                 |      -12.0|                |              |   0.094|             |            |3FGL J2322.5+3436  |           1.44|                 0.20|2FHL J2322.5+343|           0.20|
|2WHSP J234333.4+343950|23 43 33.4|+34 39 50|107.4191|-26.1547|           |5BZB             |                 |       17.3|                |                 |      -11.5|                |              |   0.360|             |            |3FGL J2343.7+3437  |           1.75|                 0.15|2FHL J2343.5+343|           0.63|
|2WHSP J124141.4+344029|12 41 41.4|+34 40 29|137.8052| 82.1700|           |5BZB             |                 |       16.6|                |                 |      -12.0|                |&gt;             |   0.700|             |            |Arsioli2016        |           1.96|                 0.18|                |           0.20|
|2WHSP J030103.7+344100|03 01 03.7|+34 41 00|151.0992|-21.0022|           |5BZB             |                 |       15.7|                |                 |      -12.0|                |              |   0.240|             |            |Arsioli2016        |           2.30|                 0.15|                |           0.20|
|2WHSP J090317.8+344338|09 03 17.8|+34 43 38|189.2048| 41.1295|           |                 |                 |       16.8|:               |                 |      -12.7|:               |              |   0.610|             |            |                   |               |                     |                |           0.04|
|2WHSP J132001.0+344444|13 20 01.0|+34 44 44| 85.9001| 80.2301|           |                 |                 |       15.2|:               |                 |      -13.1|:               |              |        |             |            |                   |               |                     |                |           0.02|
|2WHSP J111130.7+345202|11 11 30.7|+34 52 02|186.8441| 67.3056|           |5BZB             |                 |       17.5|                |                 |      -12.0|                |&gt;             |   0.680|             |            |                   |               |                     |                |           0.20|
|2WHSP J100656.4+345445|10 06 56.4|+34 54 45|190.0433| 54.1670|           |5BZB             |                 |       15.2|                |                 |      -12.1|                |&gt;             |   0.500|             |            |3FGL J1006.7+3453  |           1.66|                 0.21|                |           0.16|
|2WHSP J080938.8+345536|08 09 38.8|+34 55 36|186.4784| 30.3489|           |5BZG             |                 |       16.6|                |                 |      -11.8|                |              |   0.083|             |            |3FGL J0809.6+3456  |           1.67|                 0.13|2FHL J0809.5+345|           0.32|
|2WHSP J124430.7+351002|12 44 30.7|+35 10 02|132.9370| 81.8260|           |                 |                 |       17.7|                |                 |      -12.7|                |              |        |             |            |                   |               |                     |                |           0.04|
|2WHSP J010353.2+351322|01 03 53.2|+35 13 22|125.8000|-27.5796|           |                 |                 |       15.6|                |                 |      -12.4|                |              |        |             |            |                   |               |                     |                |           0.08|
|2WHSP J162625.8+351341|16 26 25.8|+35 13 41| 56.9193| 43.8623|           |5BZB             |                 |       16.0|                |                 |      -12.0|                |              |   0.498|             |            |3FGL J1626.1+3512  |           1.70|                 0.22|                |           0.20|
|2WHSP J073329.5+351542|07 33 29.5|+35 15 42|183.8852| 23.3185|           |5BZB             |                 |       16.3|                |                 |      -12.0|                |              |   0.177|             |            |Arsioli2016        |           2.59|                 0.30|                |           0.32|
|2WHSP J122114.4+352238|12 21 14.4|+35 22 38|159.0701| 79.5343|           |                 |                 |       16.7|                |                 |      -12.8|                |              |   0.510|             |            |                   |               |                     |                |           0.03|
|2WHSP J020838.1+352312|02 08 38.1|+35 23 12|140.2103|-24.8816|           |5BZB             |                 |       16.3|                |                 |      -12.1|                |              |   0.318|             |            |3FGL J0208.6+3522  |           1.70|                 0.18|                |           0.16|
|2WHSP J102732.2+352621|10 27 32.2|+35 26 21|188.7012| 58.3424|           |5BZB             |                 |       17.5|                |                 |      -12.3|                |&gt;             |   0.670|             |            |                   |               |                     |                |           0.10|
|2WHSP J001527.8+353638|00 15 27.8|+35 36 38|114.7540|-26.6893|           |5BZB             |                 |       16.7|                |                 |      -12.0|                |&gt;             |   0.570|             |            |Arsioli2016        |           1.98|                 0.23|                |           0.20|
|2WHSP J122211.4+354058|12 22 11.4|+35 40 58|157.1939| 79.4189|           |5BZB             |                 |       15.3|                |                 |      -12.3|                |&gt;             |   0.570|             |            |                   |               |                     |                |           0.10|
|2WHSP J095507.9+355100|09 55 07.9|+35 51 00|188.5367| 51.7487|           |5BZB             |                 |       17.5|                |                 |      -11.8|                |              |   0.834|             |            |Arsioli2016        |           1.88|                 0.25|                |           0.32|
|2WHSP J171841.4+360521|17 18 41.4|+36 05 21| 59.9729| 33.4883|           |                 |                 |       16.2|                |                 |      -12.7|                |              |   0.350|             |            |                   |               |                     |                |           0.04|
|2WHSP J144800.4+360830|14 48 00.4|+36 08 30| 60.2664| 63.7240|           |5BZB             |                 |       15.1|                |                 |      -11.5|                |              |        |             |            |3FGL J1448.0+3608  |           1.82|                 0.05|2FHL J1448.1+360|           0.63|
|2WHSP J212743.0+361305|21 27 43.0|+36 13 05| 83.3533|-10.5515|           |5BZB             |                 |       15.6|                |                 |      -11.3|                |              |        |             |            |3FGL J2127.7+3612  |           1.90|                 0.07|                |           1.00|
|2WHSP J031250.2+361519|03 12 50.2|+36 15 19|152.3840|-18.4032|           |5BZG             |                 |       16.4|                |                 |      -11.8|                |              |   0.071|             |            |3FGL J0312.7+3613  |           2.28|                 0.14|2FHL J0313.0+361|           0.32|
|2WHSP J234238.5+361838|23 42 38.5|+36 18 38|107.7489|-24.5246|           |                 |                 |       16.3|                |                 |      -12.0|                |              |        |             |            |                   |               |                     |                |           0.20|
|2WHSP J083918.7+361855|08 39 18.7|+36 18 55|186.2790| 36.5314|           |5BZB             |                 |       15.4|                |                 |      -12.4|                |              |   0.335|             |            |                   |               |                     |                |           0.08|
|2WHSP J221029.5+362159|22 10 29.5|+36 21 59| 90.1613|-16.0639|           |                 |                 |       16.9|                |                 |      -12.1|                |              |        |             |            |Arsioli2016        |           2.08|                 0.29|                |           0.16|
|2WHSP J182020.8+362343|18 20 20.8|+36 23 43| 63.8908| 21.5583|           |                 |                 |       16.3|                |                 |      -12.1|                |              |        |             |            |3FGL J1820.3+3625  |           1.78|                 0.19|                |           0.16|
|2WHSP J190411.8+362657|19 04 11.8|+36 26 57| 67.2949| 13.3601|           |                 |&gt;                |       17.0|                |&gt;                |      -11.8|                |              |        |             |            |3FGL J1904.5+3627  |           2.10|                 0.16|2FHL J1904.9+362|           0.32|
|2WHSP J124312.7+362743|12 43 12.7|+36 27 43|133.0080| 80.5048|           |5BZB             |                 |       16.2|                |                 |      -10.8|                |&gt;             |   0.310|             |            |3FGL J1243.1+3627  |           1.77|                 0.04|2FHL J1243.2+362|           3.16|
|2WHSP J162819.3+363010|16 28 19.3|+36 30 10| 58.7228| 43.5915|           |                 |                 |       17.3|                |                 |      -12.9|                |              |        |             |            |                   |               |                     |                |           0.03|
|2WHSP J015219.7+364017|01 52 19.7|+36 40 17|136.3259|-24.6116|U          |                 |                 |       16.3|:               |                 |      -12.5|:               |              |        |             |            |                   |               |                     |                |           0.06|
|2WHSP J004208.0+364112|00 42 08.0|+36 41 12|120.8540|-26.1475|           |5BZB             |                 |       16.8|                |                 |      -11.9|                |&gt;             |   0.470|             |            |3FGL J0041.9+3639  |           1.98|                 0.20|                |           0.25|
|2WHSP J135856.2+365424|13 58 56.2|+36 54 24| 71.5689| 72.7133|           |                 |                 |       16.6|                |                 |      -12.9|                |&gt;             |   0.630|             |            |                   |               |                     |                |           0.03|
|2WHSP J214226.4+365948|21 42 26.4|+36 59 48| 86.0904|-12.0113|           |                 |                 |       17.0|                |                 |      -11.6|                |              |        |             |            |                   |               |                     |                |           0.50|
|2WHSP J230436.7+370507|23 04 36.7|+37 05 07|100.3396|-21.0559|           |5BZB             |                 |       16.3|                |                 |      -11.5|                |              |        |             |            |3FGL J2304.6+3704  |           1.82|                 0.10|2FHL J2304.7+370|           0.63|
|2WHSP J142421.1+370552|14 24 21.1|+37 05 52| 65.7160| 68.0267|           |5BZG             |                 |       16.3|                |                 |      -12.4|                |              |   0.290|             |            |                   |               |                     |                |           0.08|
|2WHSP J223626.2+370713|22 36 26.2|+37 07 13| 95.1091|-18.3529|           |                 |                 |       15.8|                |                 |      -11.9|                |              |        |             |            |Arsioli2016        |           1.84|                 0.19|                |           0.25|
|2WHSP J103346.3+370824|10 33 46.3|+37 08 24|185.1393| 59.3818|           |                 |                 |       17.1|                |                 |      -12.5|                |              |   0.447|             |            |                   |               |                     |                |           0.06|
|2WHSP J111603.4+371036|11 16 03.4|+37 10 36|180.3959| 67.5376|           |                 |                 |       15.7|                |                 |      -12.3|                |              |   0.269|             |            |                   |               |                     |                |           0.10|
|2WHSP J171419.6+371612|17 14 19.6|+37 16 12| 61.1805| 34.5645|           |                 |                 |       16.1|                |                 |      -12.4|                |              |        |             |            |                   |               |                     |                |           0.08|
|2WHSP J075523.1+372618|07 55 23.1|+37 26 18|182.8968| 28.1525|           |5BZB             |                 |       16.6|                |                 |      -12.4|                |              |   0.605|             |            |                   |               |                     |                |           0.08|
|2WHSP J072659.5+373423|07 26 59.5|+37 34 23|181.0615| 22.7702|           |5BZB             |                 |       15.1|                |                 |      -12.3|                |&gt;             |   0.570|             |            |                   |               |                     |                |           0.10|
|2WHSP J070631.6+374435|07 06 31.6|+37 44 35|179.4927| 18.9909|           |5BZB             |                 |       15.3|                |                 |      -11.6|                |              |        |             |            |3FGL J0706.5+3744  |           1.89|                 0.06|2FHL J0706.5+374|           0.50|
|2WHSP J100444.6+375211|10 04 44.6|+37 52 11|185.0691| 53.5803|           |5BZB             |                 |       15.8|                |                 |      -12.3|                |              |   0.440|             |            |                   |               |                     |                |           0.10|
|2WHSP J174357.4+375309|17 43 57.4|+37 53 09| 63.2743| 28.9378|           |                 |                 |       16.8|                |                 |      -12.7|                |              |        |             |            |                   |               |                     |                |           0.04|
|2WHSP J191809.6+375312|19 18 09.6|+37 53 12| 69.8255| 11.4380|           |                 |                 |       16.5|                |                 |      -11.8|                |              |        |             |            |3FGL J1918.0+3750  |           2.19|                 0.19|                |           0.32|
|2WHSP J232914.2+375414|23 29 14.2|+37 54 14|105.5285|-22.1741|           |5BZB             |                 |       16.3|                |                 |      -11.6|                |&gt;             |   0.200|             |f           |3FGL J2329.2+3754  |           1.93|                 0.09|2FHL J2329.2+375|           0.50|
|2WHSP J110600.3+375445|11 06 00.3|+37 54 45|180.2740| 65.4142|           |                 |                 |       15.9|:               |                 |      -13.1|:               |              |        |             |            |                   |               |                     |                |           0.02|
|2WHSP J161632.8+375603|16 16 32.8|+37 56 03| 60.5653| 46.0071|           |5BZG             |                 |       18.0|                |                 |      -12.0|                |              |   0.200|             |            |                   |               |                     |                |           0.20|
|2WHSP J140710.3+380334|14 07 10.3|+38 03 34| 72.2250| 70.7245|           |                 |                 |       15.8|                |                 |      -12.9|                |              |        |             |            |                   |               |                     |                |           0.03|
|2WHSP J173044.6+380454|17 30 44.6|+38 04 54| 62.8492| 31.5227|           |                 |                 |       16.2|                |                 |      -12.6|                |              |        |             |            |                   |               |                     |                |           0.05|
|2WHSP J102128.9+380644|10 21 28.9|+38 06 44|184.0055| 56.8308|           |5BZB             |                 |       16.1|                |                 |      -12.5|                |              |   0.467|             |            |                   |               |                     |                |           0.06|
|2WHSP J170132.2+381103|17 01 32.2|+38 11 03| 61.8226| 37.2027|           |                 |                 |       17.7|                |                 |      -12.9|                |              |        |             |            |                   |               |                     |                |           0.03|
|2WHSP J152913.5+381216|15 29 13.5|+38 12 16| 61.6663| 55.2924|           |5BZB             |                 |       15.7|                |                 |      -12.0|                |&gt;             |   0.590|             |            |Arsioli2016        |           1.82|                 0.19|                |           0.20|
|2WHSP J110427.3+381230|11 04 27.3|+38 12 30|179.8328| 65.0316|           |5BZB             |                 |       16.3|                |                 |       -9.7|                |              |   0.030|             |            |3FGL J1104.4+3812  |           1.77|                 0.00|2FHL J1104.4+381|          39.80|
|2WHSP J173842.4+382102|17 38 42.4|+38 21 02| 63.5314| 30.0477|           |                 |&gt;                |       17.0|                |&gt;                |      -12.0|                |              |        |             |            |                   |               |                     |                |           0.20|
|2WHSP J183200.9+382137|18 32 00.9|+38 21 37| 66.6825| 20.0023|U          |                 |                 |       15.4|:               |                 |      -12.3|:               |              |        |             |            |                   |               |                     |                |           0.10|
|2WHSP J225005.7+382437|22 50 05.7|+38 24 37| 98.2540|-18.5781|           |5BZB             |                 |       16.2|                |                 |      -11.2|                |              |   0.119|:            |            |3FGL J2250.1+3825  |           1.91|                 0.07|2FHL J2249.9+382|           1.26|
|2WHSP J125300.8+382625|12 53 00.8|+38 26 25|121.3597| 78.6832|           |5BZB             |                 |       16.9|                |                 |      -12.0|                |              |   0.372|             |            |                   |               |                     |                |           0.20|
|2WHSP J181403.4+382809|18 14 03.4|+38 28 09| 65.6169| 23.3792|           |                 |                 |       15.9|                |                 |      -12.1|                |              |        |             |            |                   |               |                     |                |           0.16|
|2WHSP J095040.9+383043|09 50 40.9|+38 30 43|184.3275| 50.7806|           |                 |                 |       17.4|                |                 |      -12.4|                |              |        |             |            |                   |               |                     |                |           0.08|
|2WHSP J122450.1+383248|12 24 50.1|+38 32 48|147.2577| 77.2971|           |                 |                 |       15.1|                |                 |      -12.4|                |              |        |             |            |                   |               |                     |                |           0.08|
|2WHSP J164702.5+385000|16 47 02.5|+38 50 00| 62.2511| 40.0922|           |                 |                 |       15.6|                |                 |      -12.4|                |              |   0.135|             |            |                   |               |                     |                |           0.08|
|2WHSP J234042.7+385510|23 40 42.7|+38 55 10|108.1750|-21.9171|           |                 |                 |       15.6|                |                 |      -12.2|                |              |        |             |            |3FGL J2340.7+3847  |           1.92|                 0.26|                |           0.13|
|2WHSP J130531.2+385522|13 05 31.2|+38 55 22|109.8182| 77.8446|           |5BZB             |                 |       16.1|                |                 |      -12.4|                |              |   0.376|             |            |                   |               |                     |                |           0.08|
|2WHSP J104149.0+390118|10 41 49.0|+39 01 18|180.8238| 60.5588|           |5BZG             |                 |       16.5|                |                 |      -12.2|                |              |   0.210|             |            |3FGL J1041.8+3901  |           1.97|                 0.16|                |           0.13|
|2WHSP J143924.4+390410|14 39 24.4|+39 04 10| 67.7937| 64.5675|           |                 |                 |       15.5|                |                 |      -12.4|                |              |   0.170|             |            |                   |               |                     |                |           0.08|
|2WHSP J013632.5+390558|01 36 32.5|+39 05 58|132.4162|-22.9402|           |5BZB             |                 |       16.1|                |                 |      -10.9|                |              |        |             |            |3FGL J0136.5+3905  |           1.70|                 0.02|2FHL J0136.5+390|           2.51|
|2WHSP J003358.7+390630|00 33 58.7|+39 06 30|119.2358|-23.6381|           |                 |                 |       16.6|                |                 |      -12.5|                |              |        |             |            |                   |               |                     |                |           0.06|
|2WHSP J142745.8+390831|14 27 45.8|+39 08 31| 69.9841| 66.6387|           |5BZG             |                 |       15.8|                |                 |      -12.6|                |              |   0.165|             |            |                   |               |                     |                |           0.05|
|2WHSP J092015.4+391013|09 20 15.4|+39 10 13|183.5004| 44.8473|           |5BZB             |                 |       17.2|                |                 |      -12.9|                |              |   0.607|             |            |                   |               |                     |                |           0.03|
|2WHSP J130201.0+391524|13 02 01.0|+39 15 24|113.2978| 77.6730|           |                 |                 |       16.8|                |                 |      -12.9|                |              |        |             |            |                   |               |                     |                |           0.03|
|2WHSP J121026.5+392908|12 10 26.5|+39 29 08|154.9481| 74.9881|           |5BZB             |                 |       17.5|                |                 |      -11.7|                |&gt;             |   0.700|             |            |                   |               |                     |                |           0.40|
|2WHSP J101258.3+393238|10 12 58.3|+39 32 38|181.9055| 54.9838|           |5BZG             |                 |       15.7|                |                 |      -12.4|                |              |   0.170|             |            |                   |               |                     |                |           0.08|
|2WHSP J143917.3+393242|14 39 17.3|+39 32 42| 68.8478| 64.4237|           |5BZB             |                 |       15.9|                |                 |      -11.2|                |              |   0.344|             |            |3FGL J1439.2+3931  |           1.77|                 0.11|                |           1.26|
|2WHSP J093056.8+393334|09 30 56.8|+39 33 34|182.9442| 46.9138|           |5BZB             |                 |       17.1|:               |                 |      -12.3|:               |              |   0.640|             |            |                   |               |                     |                |           0.10|
|2WHSP J095214.6+393615|09 52 14.6|+39 36 15|182.5674| 51.0094|           |5BZB             |                 |       16.5|                |                 |      -12.3|                |&gt;             |   0.700|             |            |1FGL J0952.2+3926  |           2.50|                 0.22|                |           0.10|
|2WHSP J221404.9+393857|22 14 04.9|+39 38 57| 92.7559|-13.8293|           |                 |                 |       16.3|                |                 |      -12.0|                |              |        |             |            |                   |               |                     |                |           0.20|
|2WHSP J010547.0+393921|01 05 47.0|+39 39 21|125.9338|-23.1323|           |                 |                 |       16.1|                |                 |      -12.3|                |              |        |             |            |                   |               |                     |                |           0.10|
|2WHSP J105125.3+394324|10 51 25.3|+39 43 24|178.3592| 62.1535|           |5BZB             |                 |       16.8|                |                 |      -11.9|                |              |   0.497|             |            |3FGL J1051.4+3941  |           1.66|                 0.17|                |           0.25|
|2WHSP J153651.0+394506|15 36 51.0|+39 45 06| 63.9935| 53.6309|           |                 |                 |       16.1|                |                 |      -13.4|                |              |        |             |            |                   |               |                     |                |           0.01|
|2WHSP J165352.2+394535|16 53 52.2|+39 45 35| 63.5995| 38.8592|           |5BZB             |                 |       17.9|                |                 |      -10.2|                |              |   0.030|             |            |3FGL J1653.9+3945  |           1.72|                 0.01|2FHL J1653.9+394|          12.50|
|2WHSP J082355.6+394747|08 23 55.6|+39 47 47|181.4872| 34.0821|           |                 |                 |       16.8|                |                 |      -12.3|                |              |        |             |            |                   |               |                     |                |           0.10|
|2WHSP J004755.2+394856|00 47 55.2|+39 48 56|122.1978|-23.0512|           |5BZB             |                 |       16.1|                |                 |      -11.9|                |              |   0.252|             |            |3FGL J0048.0+3950  |           1.88|                 0.11|                |           0.25|
|2WHSP J004927.7+395003|00 49 27.7|+39 50 03|122.5197|-23.0360|           |                 |                 |       17.0|                |                 |      -12.5|                |              |        |             |            |                   |               |                     |                |           0.06|
|2WHSP J143554.8+395729|14 35 54.8|+39 57 29| 70.3052| 64.8733|           |                 |                 |       15.5|                |                 |      -12.7|                |              |   0.755|             |            |                   |               |                     |                |           0.04|
|2WHSP J134105.1+395944|13 41 05.1|+39 59 44| 87.4333| 73.5269|           |5BZG             |                 |       17.3|                |                 |      -11.6|                |              |   0.172|             |            |3FGL J1341.0+3955  |           2.54|                 0.18|                |           0.50|
|2WHSP J082555.2+401332|08 25 55.2|+40 13 32|181.0418| 34.5231|           |                 |                 |       16.1|                |                 |      -12.4|                |              |        |             |            |                   |               |                     |                |           0.08|
|2WHSP J065105.3+401337|06 51 05.3|+40 13 37|175.9334| 17.0643|           |                 |                 |       15.5|                |                 |      -11.5|                |              |        |             |            |3FGL J0651.3+4014  |           2.12|                 0.13|                |           0.63|
|2WHSP J004603.1+401345|00 46 03.1|+40 13 45|121.8181|-22.6309|           |                 |                 |       15.2|                |                 |      -13.0|                |              |        |             |            |                   |               |                     |                |           0.02|
|2WHSP J110021.0+401927|11 00 21.0|+40 19 27|175.8669| 63.5644|           |5BZB             |                 |       16.3|                |                 |      -11.6|                |              |   0.225|:            |            |3FGL J1100.5+4020  |           1.84|                 0.14|                |           0.50|
|2WHSP J165249.9+402309|16 52 49.9|+40 23 09| 64.3801| 39.1107|           |5BZB             |                 |       15.5|                |                 |      -12.5|                |&gt;             |   0.310|             |            |                   |               |                     |                |           0.06|
|2WHSP J121902.8+402442|12 19 02.8|+40 24 42|147.6280| 75.1251|           |                 |                 |       16.2|                |                 |      -12.9|                |              |        |             |            |                   |               |                     |                |           0.03|
|2WHSP J231323.5+402810|23 13 23.5|+40 28 10|103.4721|-18.6683|           |                 |                 |       15.1|                |                 |      -11.8|                |              |        |             |            |                   |               |                     |                |           0.32|
|2WHSP J030544.1+403509|03 05 44.1|+40 35 09|148.7639|-15.4543|           |                 |                 |       16.5|                |                 |      -11.9|                |              |        |             |            |Arsioli2016        |           1.84|                 0.28|                |           0.25|
|2WHSP J235612.1+403643|23 56 12.1|+40 36 43|111.7363|-21.0559|           |5BZG             |                 |       16.3|                |                 |      -12.1|                |              |   0.331|             |            |3FGL J2356.0+4037  |           1.72|                 0.13|                |           0.16|
|2WHSP J004013.7+405003|00 40 13.7|+40 50 03|120.6456|-21.9878|           |5BZU             |&gt;                |       17.5|                |&gt;                |      -11.5|                |              |        |             |            |3FGL J0040.3+4049  |           1.13|                 0.33|2FHL J0040.3+404|           0.63|
|2WHSP J230012.2+405224|23 00 12.2|+40 52 24|101.2523|-17.2691|           |                 |                 |       17.2|                |                 |      -11.7|                |              |        |             |            |3FGL J2300.0+4053  |           1.51|                 0.25|                |           0.40|
|2WHSP J130145.6+405623|13 01 45.6|+40 56 23|114.8355| 76.0258|           |5BZB             |                 |       15.9|                |                 |      -12.0|                |              |   0.652|             |            |Arsioli2016        |           2.08|                 0.14|                |           0.20|
|2WHSP J134342.4+410256|13 43 42.4|+41 02 56| 88.5813| 72.4112|           |                 |                 |       15.3|                |                 |      -12.8|                |              |        |             |            |                   |               |                     |                |           0.03|
|2WHSP J101616.7+410812|10 16 16.7|+41 08 12|178.9686| 55.3285|           |                 |                 |       17.3|                |                 |      -12.0|                |              |   0.270|             |            |                   |               |                     |                |           0.40|
|2WHSP J110124.7+410847|11 01 24.7|+41 08 47|173.9905| 63.4391|           |5BZB             |                 |       15.7|                |                 |      -12.2|                |&gt;             |   0.580|             |            |3FGL J1101.5+4106  |           1.77|                 0.17|                |           0.13|
